mother	embryo	het_sites_total	het_sites_mismatch	het_match_percentage	hom_sites_total	hom_sites_mismatch	hom_match_percentage	total_sites	total_mismatch	total_match_percentage
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e22	15639	705	95.5	76236	60383	20.8	91875	61088	33.5
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e23	9827	905	90.8	40493	20677	48.9	50320	21582	57.1
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e3	11987	479	96.0	51998	41734	19.7	63985	42213	34.0
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e4	17766	1897	89.3	86784	45804	47.2	104550	47701	54.4
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e5	11088	1099	90.1	51091	27537	46.1	62179	28636	53.9
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e6	12858	1179	90.8	60727	31794	47.6	73585	32973	55.2
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e7	16294	690	95.8	77672	62499	19.5	93966	63189	32.8
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e8	10102	976	90.3	42736	21485	49.7	52838	22461	57.5
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_e9	8090	331	95.9	34540	27219	21.2	42630	27550	35.4
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e1	106	1	99.1	58	0	100.0	164	1	99.4
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e2	106	3	97.2	52	0	100.0	158	3	98.1
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e3	96	1	99.0	60	0	100.0	156	1	99.4
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e4	10692	160	98.5	13174	6	100.0	23866	166	99.3
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e5	10691	184	98.3	13379	5	100.0	24070	189	99.2
Mzhaojiaoensis_633816	Mzhaojiaoensis_633816_sim_e6	10701	180	98.3	13328	2	100.0	24029	182	99.2
