mother	embryo	het_sites_total	het_sites_mismatch	het_match_percentage	hom_sites_total	hom_sites_mismatch	hom_match_percentage	total_sites	total_mismatch	total_match_percentage
Mhalliana_590029	Mhalliana_590029_e6	15231	1732	88.6	64942	34613	46.7	80173	36345	54.7
Mhalliana_590029	Mhalliana_590029_e7	179	36	79.9	351	64	81.8	530	100	81.1
Mhalliana_590029	Mhalliana_590029_e8	7701	1148	85.1	17510	2916	83.3	25211	4064	83.9
Mhalliana_590029	Mhalliana_590029_e9	9332	922	90.1	44409	32005	27.9	53741	32927	38.7
Mhalliana_590029	Mhalliana_590029_sim_e1	22294	279	98.7	37852	12	100.0	60146	291	99.5
Mhalliana_590029	Mhalliana_590029_sim_e10	2289	29	98.7	1955	0	100.0	4244	29	99.3
Mhalliana_590029	Mhalliana_590029_sim_e11	2240	40	98.2	1959	1	99.9	4199	41	99.0
Mhalliana_590029	Mhalliana_590029_sim_e12	2281	41	98.2	1843	1	99.9	4124	42	99.0
Mhalliana_590029	Mhalliana_590029_sim_e2	22247	285	98.7	37723	14	100.0	59970	299	99.5
Mhalliana_590029	Mhalliana_590029_sim_e3	22136	264	98.8	37822	14	100.0	59958	278	99.5
Mhalliana_590029	Mhalliana_590029_sim_e4	98815	253	99.7	225426	4	100.0	324241	257	99.9
Mhalliana_590029	Mhalliana_590029_sim_e5	98742	273	99.7	225037	7	100.0	323779	280	99.9
Mhalliana_590029	Mhalliana_590029_sim_e6	99207	263	99.7	224590	3	100.0	323797	266	99.9
Mhalliana_590029	Mhalliana_590029_sim_e7	102584	50	100.0	226427	0	100.0	329011	50	100.0
Mhalliana_590029	Mhalliana_590029_sim_e8	103168	67	99.9	226635	4	100.0	329803	71	100.0
Mhalliana_590029	Mhalliana_590029_sim_e9	102785	59	99.9	226506	1	100.0	329291	60	100.0
Mhupehensis_589756	Mhupehensis_589756_e1	9644	2607	73.0	33709	6498	80.7	43353	9105	79.0
Mhupehensis_589756	Mhupehensis_589756_e10	17563	1236	93.0	69652	53287	23.5	87215	54523	37.5
Mhupehensis_589756	Mhupehensis_589756_e11	27660	7312	73.6	86111	12283	85.7	113771	19595	82.8
Mhupehensis_589756	Mhupehensis_589756_e12	24759	6963	71.9	76856	10658	86.1	101615	17621	82.7
Mhupehensis_589756	Mhupehensis_589756_e13	29810	8280	72.2	96187	14448	85.0	125997	22728	82.0
Mhupehensis_589756	Mhupehensis_589756_e14	7472	1181	84.2	36788	21883	40.5	44260	23064	47.9
Mhupehensis_589756	Mhupehensis_589756_e15	17806	4838	72.8	53757	7209	86.6	71563	12047	83.2
Mhupehensis_589756	Mhupehensis_589756_e16	20318	5496	73.0	62435	8617	86.2	82753	14113	82.9
Mhupehensis_589756	Mhupehensis_589756_e17	6925	504	92.7	26046	19510	25.1	32971	20014	39.3
Mhupehensis_589756	Mhupehensis_589756_e18	41014	2283	94.4	168509	135267	19.7	209523	137550	34.4
Mhupehensis_589756	Mhupehensis_589756_e2	20835	3184	84.7	81124	40610	49.9	101959	43794	57.0
Mhupehensis_589756	Mhupehensis_589756_e3	21378	5210	75.6	72147	15847	78.0	93525	21057	77.5
Mhupehensis_589756	Mhupehensis_589756_e4	13668	2216	83.8	58644	27564	53.0	72312	29780	58.8
Mhupehensis_589756	Mhupehensis_589756_e5	15010	1050	93.0	60381	45234	25.1	75391	46284	38.6
Mhupehensis_589756	Mhupehensis_589756_e6	25269	7170	71.6	79456	10996	86.2	104725	18166	82.7
Mhupehensis_589756	Mhupehensis_589756_e7	6268	1650	73.7	18467	2397	87.0	24735	4047	83.6
Mhupehensis_589756	Mhupehensis_589756_e8	11758	3202	72.8	35858	4716	86.8	47616	7918	83.4
Mhupehensis_589756	Mhupehensis_589756_e9	36276	2445	93.3	152207	116636	23.4	188483	119081	36.8
Mhupehensis_589756	Mhupehensis_589756_sim_e1	30080	518	98.3	46412	35	99.9	76492	553	99.3
Mhupehensis_589756	Mhupehensis_589756_sim_e10	3417	65	98.1	2982	5	99.8	6399	70	98.9
